,Unnamed: 0,Edad_y_Tipo_de_Atención,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,Covid-19_Virus_no_identificado_U07.2,Covid-19_Virus_identificado_U07.1,CAUSAS_SISTEMA_RESPIRATORIO,-_COVID-19_VIRUS_NO_IDENTIFICADO_U07.2,-_COVID-19_VIRUS_IDENTIFICADO_U07.1,COVID19_Sospechoso_u,COVID19_Confirmado_u,COVID19_Sospechoso_h,-_COVID_19_CONFIRMADO_(U07.1),Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
30,30,31,12,0,4,5,2,1,,,2,,,,,,,68.0,10.7,17.3,11.7,24.4,42.8,20.2
31,31,32,18,5,0,11,1,0,,,0,,,,,,,65.3,7.6,14.8,9.3,22.5,35.3,13.9
32,32,33,17,3,0,6,4,1,,,1,,,,,,,69.6,8.0,14.2,9.3,21.2,46.6,24.6
33,33,34,14,3,1,14,2,1,,,2,,,,,,,66.7,7.5,14.2,10.0,22.7,39.2,15.8
34,34,35,44,3,1,16,3,0,,,1,,,,,,,69.1,10.0,16.3,11.1,25.8,39.4,15.2
35,35,36,47,5,2,31,4,2,,,2,,,,,,,59.4,6.3,15.7,10.0,23.1,43.4,13.5
36,36,37,36,1,2,17,3,1,,,0,,,,,,,67.2,8.0,14.9,9.3,23.2,35.2,14.8
37,37,38,51,6,2,12,1,1,,,1,,,,,,,69.9,8.5,14.4,9.7,23.1,33.3,15.2
38,38,39,34,5,4,19,1,1,,,2,,,,,,,67.3,9.7,16.6,11.6,23.5,43.0,14.3
39,39,40,47,5,1,19,4,2,,,3,,,,,,,61.6,8.3,16.7,10.9,26.8,47.2,15.9
40,40,41,57,1,3,16,1,3,,,0,,,,,,,62.9,7.9,15.9,9.6,25.7,44.4,16.0
41,41,42,48,0,0,20,3,3,,,1,,,,,,,66.9,9.0,15.9,10.5,25.2,42.3,14.0
42,42,43,54,0,3,12,3,2,,,1,,,,,,,71.3,9.2,14.8,10.2,23.3,32.7,13.0
43,43,44,23,3,2,19,3,1,,,1,,,,,,,65.1,10.8,18.1,12.2,26.4,40.7,14.1
44,44,45,25,7,0,10,0,3,,,0,,,,,,,72.3,9.1,14.3,10.7,22.2,34.7,9.7
45,45,46,33,4,0,16,0,2,,,0,,,,,,,66.6,10.4,17.2,12.4,25.8,31.1,9.7
46,46,47,22,1,5,16,2,1,,,0,,,,,,,69.7,10.5,16.5,11.8,24.5,34.0,12.8
47,47,48,32,2,0,19,4,3,,,1,,,,,,,65.3,11.1,18.4,13.1,27.2,27.6,10.8
48,48,49,28,5,0,11,0,1,,,0,,,,,,,68.4,8.1,14.2,10.1,20.4,28.2,12.1
49,49,50,21,8,0,7,2,0,,,0,,,,,,,66.5,11.3,18.1,13.4,25.8,25.0,9.6
50,50,51,28,0,0,7,2,3,,,1,,,,,,,65.1,12.1,19.4,14.6,27.7,32.3,11.1
51,51,52,23,1,1,4,0,3,,,2,,,,,,,67.1,12.6,19.1,15.2,26.9,24.4,7.9
52,52,1,23,2,0,6,1,2,,,1,,,,,,,71.9,9.4,14.9,10.7,22.2,27.3,7.9
53,53,2,23,1,1,5,0,0,,,0,,,,,,,64.2,10.6,18.3,12.7,25.4,25.3,10.1
54,54,3,21,0,0,7,0,0,,,0,,,,,,,65.7,12.4,19.4,15.1,27.4,29.0,11.0
55,55,4,16,0,0,1,1,0,,,0,,,,,,,66.9,12.7,19.5,14.6,28.2,29.3,10.9
56,56,5,17,0,0,2,0,0,,,0,,,,,,,68.3,11.9,18.3,13.7,26.3,30.0,11.8
57,57,6,18,1,1,0,1,0,,,0,,,,,,,58.1,5.8,15.6,9.3,24.2,32.9,12.2
58,58,7,8,0,0,5,1,0,,,0,,,,,,,68.3,13.6,20.0,15.5,27.5,30.7,10.3
59,59,8,9,0,0,8,1,0,,,0,,,,,,,68.1,13.6,20.1,15.8,28.5,23.7,7.4
60,60,9,11,0,0,4,1,0,,,0,,,,,,,68.1,11.5,18.0,12.8,26.2,27.3,9.6
61,61,10,15,0,0,10,0,1,,,0,,,,,,,69.9,7.8,14.0,9.2,24.7,42.2,12.1
62,62,11,32,1,1,21,3,2,,,2,,,,,,,68.0,11.6,18.2,12.6,26.4,39.7,11.7
63,63,12,26,0,2,15,3,0,,,2,,,,,,,69.3,10.8,17.1,11.3,26.5,39.3,11.3
64,64,13,27,1,0,24,1,1,,,4,,,,,,,69.7,11.2,17.3,12.4,25.7,37.7,13.4
65,65,14,28,4,2,10,3,0,,,2,,,,,,,70.8,8.8,14.5,10.3,21.4,30.0,10.9
66,66,15,26,4,3,13,5,0,,,0,,,,,,,70.4,10.2,16.2,12.1,24.1,27.8,10.0
67,67,16,18,5,0,7,2,1,,,0,,,,,,,77.2,10.9,15.2,11.2,22.8,41.8,19.2
68,68,17,29,6,1,14,0,0,,,1,,,,,,,74.8,10.6,15.5,11.2,23.3,39.3,16.3
69,69,18,29,4,0,13,3,2,,,2,,,,,,,66.6,9.4,16.7,11.7,25.3,39.0,17.8
70,70,19,25,3,1,13,2,2,,,3,,,,,,,65.6,8.7,15.8,10.0,22.4,39.3,13.4
71,71,20,24,8,0,13,1,1,,,0,,,,,,,71.1,8.2,14.0,9.8,21.6,60.3,26.2
72,72,21,28,0,3,14,6,0,,,1,,,,,,,67.7,6.5,13.1,7.0,20.7,69.2,30.6
73,73,22,35,5,5,17,1,4,,,2,,,,,,,68.0,10.3,17.0,12.1,24.8,60.4,26.4
74,74,23,28,3,1,11,7,3,,,1,,,,,,,62.7,6.8,15.5,9.2,24.4,68.2,18.8
75,75,24,30,13,0,19,4,1,,,0,,,,,,,52.4,2.7,14.2,7.7,22.7,84.4,22.8
76,76,25,31,36,0,23,0,1,,,0,,,,,,,76.8,6.8,11.1,7.1,17.7,37.8,15.8
77,77,26,45,18,1,32,3,7,,,1,,,,,,,71.9,8.5,13.9,10.1,20.7,40.2,14.5
78,78,27,51,11,0,56,1,2,,,0,,,,,,,61.2,7.6,16.3,10.6,25.3,42.0,14.0
79,79,28,47,32,2,19,4,0,,,0,,,,,,,69.6,7.8,14.2,8.7,20.9,52.4,23.8
80,80,29,28,9,3,22,2,0,,,0,,,,,,,64.6,5.2,12.4,8.3,18.3,45.3,16.6
81,81,30,12,3,0,6,0,1,,,0,,,,,,,59.4,3.0,12.2,7.0,20.1,53.3,20.8
82,82,31,16,2,0,12,2,1,,,0,,,,,,,66.3,9.9,16.8,11.4,25.3,55.3,22.8
83,83,32,22,10,1,13,2,1,,,0,,,,,,,65.0,7.8,15.7,10.2,24.3,61.2,19.3
84,84,33,27,6,0,11,8,0,,,1,,,,,,,74.0,7.5,12.5,7.6,20.0,51.5,21.1
85,85,34,40,1,0,28,4,2,,,1,,,,,,,66.8,6.0,13.0,7.8,21.6,59.8,20.0
86,86,35,24,1,1,15,1,3,,,1,,,,,,,67.5,9.3,15.7,11.5,23.5,40.1,14.2
87,87,36,30,6,0,18,2,0,,,0,,,,,,,70.0,7.5,13.7,9.4,21.9,48.8,17.4
88,88,37,28,6,1,19,0,2,,,1,,,,,,,67.8,8.1,14.6,10.5,21.4,35.5,12.9
89,89,38,24,1,0,6,2,3,,,0,,,,,,,62.1,7.7,16.2,9.4,25.5,54.9,17.4
90,90,39,17,3,0,6,3,2,,,0,,,,,,,70.4,9.9,15.8,11.0,24.3,39.8,11.8
91,91,40,30,1,1,9,3,3,,,2,,,,,,,68.6,9.5,15.7,11.4,22.1,63.8,17.3
92,92,41,22,0,0,17,2,1,,,0,,,,,,,59.8,7.5,16.7,11.8,24.4,54.5,13.0
93,93,42,22,0,1,12,4,0,,,1,,,,,,,66.4,7.9,15.0,9.3,23.9,42.3,10.8
94,94,43,25,3,0,15,1,0,,,0,,,,,,,68.8,9.4,15.8,10.0,24.9,47.7,12.7
95,95,44,24,1,0,8,0,0,,,0,,,,,,,63.5,11.1,18.8,13.3,26.2,35.2,8.4
96,96,45,34,0,1,9,3,2,,,0,,,,,,,66.1,7.6,14.7,9.7,22.6,33.1,8.2
97,97,46,33,2,0,5,0,1,,,0,,,,,,,63.7,10.5,18.4,12.7,27.1,60.7,13.4
98,98,47,22,5,5,12,2,0,,,3,,,,,,,69.3,11.8,17.8,14.2,25.5,31.8,8.2
99,99,48,37,4,3,13,3,0,,,2,,,,,,,67.9,11.9,18.4,14.5,26.4,31.2,7.4
100,100,49,35,1,4,9,1,3,,,2,,,,,,,71.0,8.0,13.8,9.2,22.4,36.7,9.1
101,101,50,25,0,0,11,0,1,,,0,,,,,,,59.3,9.5,18.6,12.8,26.8,56.3,12.5
102,102,51,22,3,2,8,2,0,,,1,,,,,,,67.0,11.3,18.1,13.4,26.5,32.2,8.8
103,103,52,24,0,0,11,2,1,,,2,,,,,,,64.9,11.9,19.3,14.5,26.5,26.4,7.4
104,104,1,30,2,1,8,1,1,,,2,,,,,,,61.9,7.5,16.9,11.3,25.9,31.2,9.3
105,105,2,17,1,0,6,0,1,,,0,,,,,,,66.2,10.1,17.2,12.1,26.0,25.6,7.1
106,106,3,20,0,0,5,0,0,,,0,,,,,,,67.2,12.2,19.0,14.8,26.9,34.6,13.3
107,107,4,18,0,1,4,0,0,,,0,,,,,,,63.6,13.0,20.8,15.5,28.9,29.1,8.2
108,108,5,24,0,0,6,0,1,,,0,,,,,,,65.2,12.5,19.9,15.0,27.6,26.4,7.8
109,109,6,21,0,0,2,0,0,,,0,,,,,,,62.1,6.3,14.7,9.7,23.7,26.0,7.2
110,110,7,15,0,0,2,1,0,,,0,,,,,,,63.9,12.0,19.7,14.7,28.4,33.3,8.9
111,111,8,12,1,0,6,2,0,,,0,,,,,,,64.9,13.4,20.9,16.0,29.4,24.9,6.7
112,112,9,25,1,0,8,0,1,,,0,,,,,,,66.7,12.4,19.3,14.6,27.5,24.1,7.3
113,113,10,24,0,0,2,1,0,,,1,,,,,,,66.4,6.9,14.1,7.5,22.6,33.2,8.6
114,114,11,38,0,0,9,2,1,,,1,,,,,,,69.9,12.0,18.1,13.6,26.8,37.7,11.3
115,115,12,42,1,0,20,2,1,,,1,,,,,,,72.5,11.4,17.0,12.4,26.4,38.6,12.3
116,116,13,42,1,1,20,2,2,,,2,,,,,,,69.5,11.8,17.9,13.6,25.7,27.2,10.4
117,117,14,45,2,1,17,0,1,,,0,,,,,,,69.7,8.6,14.7,10.4,22.6,38.7,10.0
118,118,15,37,2,0,19,3,1,,,1,,,,,,,69.7,9.5,15.7,10.7,24.8,38.0,16.2
119,119,16,31,3,0,13,1,3,,,0,,,,,,,71.4,9.7,15.2,11.7,21.9,31.4,13.1
120,120,17,44,3,0,14,1,1,,,0,,,,,,,70.8,10.0,15.8,11.2,23.2,41.7,11.9
121,121,18,36,0,0,16,2,0,,,0,,,,,,,65.5,10.3,17.7,12.6,25.5,31.2,11.4
122,122,19,41,2,0,19,4,2,,,1,,,,,,,67.3,7.9,14.6,9.2,23.2,40.2,13.6
123,123,20,37,0,0,18,3,0,,,1,,,,,,,71.7,7.0,12.5,7.8,20.2,37.7,12.1
124,124,21,48,2,0,19,1,0,,,0,,,,,,,51.2,1.9,14.6,9.4,22.0,66.7,16.7
125,125,22,49,9,0,13,1,0,,,1,,,,,,,64.3,10.5,18.0,13.0,25.7,53.5,14.4
126,126,23,42,2,0,28,2,0,,,1,,,,,,,68.2,7.8,14.2,8.8,21.7,60.7,20.0
127,127,24,45,1,0,18,0,2,,,1,,,,,,,52.3,0.7,12.9,6.9,21.6,46.6,16.1
128,128,25,67,22,4,24,1,2,,,3,,,,,,,67.1,5.8,13.6,8.7,21.8,76.2,23.0
129,129,26,56,18,2,20,1,0,,,1,,,,,,,68.5,8.4,14.6,10.8,21.4,42.3,14.8
130,130,27,40,16,0,12,2,0,,,0,,,,,,,71.1,8.6,14.3,9.8,21.4,41.3,16.0
131,131,28,57,17,1,18,1,1,,,1,,,,,,,70.0,7.2,13.4,8.3,22.4,49.8,19.3
132,132,29,25,4,0,7,0,2,,,0,,,,,,,64.5,4.4,11.9,7.4,18.1,53.7,20.9
133,133,30,26,3,0,8,1,0,,,0,,,,,,,53.7,1.9,14.0,7.6,23.1,53.5,16.4
134,134,31,50,5,0,17,1,2,,,2,,,,,,,65.2,9.0,16.6,11.6,24.1,78.2,21.0
135,135,32,102,25,0,32,1,2,,,0,,,,,,,68.0,7.7,14.2,9.2,22.4,57.3,20.6
136,136,33,193,48,1,55,0,3,,,0,,,,,,,68.1,6.6,13.3,7.8,22.0,70.3,19.9
137,137,34,195,94,0,38,3,1,,,2,,,,,,,59.6,6.0,16.2,10.4,25.6,54.0,17.4
138,138,35,144,68,3,59,2,1,,,1,,,,,,,71.3,10.3,16.0,11.7,24.1,53.1,14.7
139,139,36,87,5,2,43,2,0,,,0,,,,,,,73.6,7.3,12.4,7.7,19.8,35.4,9.1
140,140,37,49,6,2,27,4,0,,,0,,,,,,,69.0,7.5,13.8,9.6,22.4,36.8,9.1
141,141,38,31,2,0,19,0,0,,,0,,,,,,,64.6,6.5,14.0,8.3,22.8,33.3,10.7
142,142,39,34,2,0,20,1,0,,,0,,,,,,,67.7,8.2,14.7,9.9,22.6,31.7,8.6
143,143,40,35,4,1,14,0,2,,,1,,,,,,,62.2,7.3,16.3,11.2,24.6,39.3,9.0
144,144,41,30,3,0,26,2,0,,,0,,,,,,,65.5,9.0,16.1,11.3,24.5,39.5,12.5
145,145,42,36,3,0,17,3,2,,,1,,,,,,,65.0,7.9,15.2,10.0,23.8,35.8,8.8
146,146,43,27,2,1,15,3,2,,,3,,,,,,,64.9,8.9,16.4,10.4,25.6,47.6,13.1
147,147,44,15,1,0,6,2,3,,,0,,,,,,,64.0,9.8,17.5,12.5,25.8,41.3,9.7
148,148,45,9,1,0,5,0,1,,,0,,,,,,,59.4,5.2,15.4,9.8,24.1,27.0,8.6
149,149,46,6,0,0,1,0,0,,,0,,,,,,,67.1,11.2,18.1,12.7,26.5,20.8,7.2
150,150,47,11,0,0,1,2,1,,,0,,,,,,,59.9,10.6,19.2,13.9,27.2,27.1,7.5
151,151,48,11,1,0,3,0,0,,,0,,,,,,,64.3,11.0,18.7,13.3,28.1,51.1,13.3
152,152,49,11,0,0,3,0,3,,,0,,,,,,,65.2,6.7,14.2,8.6,22.9,30.6,8.4
153,153,50,11,0,2,2,1,0,,,1,,,,,,,64.5,11.2,18.7,13.3,26.8,25.7,6.8
154,154,51,17,0,0,4,0,0,,,0,,,,,,,66.5,12.4,19.3,13.8,26.6,36.3,9.5
155,155,52,19,0,1,4,1,1,,,1,,,,,,,63.9,11.3,19.1,13.5,28.6,35.1,8.7
156,156,1,14,2,0,5,1,2,,,1,,,,,,,67.8,9.2,15.8,10.7,23.6,23.7,7.2
157,157,2,12,0,1,1,1,0,,,0,,,,,,,59.7,10.9,19.7,14.2,28.2,28.9,7.9
158,158,3,12,0,0,2,2,0,,,0,,,,,,,65.4,14.4,21.6,17.3,28.3,23.5,6.1
159,159,4,15,0,1,0,1,0,,,0,,,,,,,66.1,13.0,20.2,15.4,28.5,27.5,5.6
160,160,5,9,0,0,3,0,1,,,0,,,0.0,0.0,0.0,0.0,67.4,11.9,18.6,14.6,26.7,27.7,6.9
161,161,6,12,0,0,6,0,0,,,0,,,0.0,0.0,0.0,0.0,64.9,7.1,14.6,9.7,23.2,28.9,7.2
162,162,7,15,0,0,5,1,0,,,0,,,0.0,0.0,,0.0,69.4,13.3,19.6,14.9,28.4,29.2,9.2
163,163,8,8,0,0,0,1,0,,,1,,,0.0,0.0,,0.0,70.5,12.9,18.9,14.9,27.4,27.5,7.0
164,164,9,15,0,0,3,0,1,,,0,,,0.0,0.0,,0.0,69.1,12.2,18.6,14.0,26.5,36.0,11.4
165,165,10,12,1,0,3,1,0,,,1,,,0.0,0.0,0.0,0.0,64.5,7.3,14.7,8.9,22.7,28.1,12.6
166,166,11,27,2,0,3,1,2,,,0,,,1.0,0.0,0.0,0.0,68.4,11.5,18.2,13.3,27.4,33.5,10.5
167,167,12,14,2,1,6,0,1,,,1,,,2.0,0.0,0.0,0.0,73.6,12.6,17.8,13.9,25.3,25.6,9.1
168,168,13,7,0,0,2,0,1,,,0,,,0.0,0.0,0.0,0.0,68.8,12.7,19.1,14.4,27.5,28.4,7.7
169,169,14,5,0,1,0,0,1,,,0,,,0.0,0.0,1.0,0.0,62.3,6.6,15.3,10.1,22.9,29.2,9.7
170,170,15,4,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0,69.6,10.5,16.6,11.8,24.7,28.2,9.0
171,171,16,2,0,0,2,0,0,,,0,,,0.0,0.0,0.0,0.0,72.6,10.3,15.7,11.2,23.3,38.1,13.2
172,172,17,4,0,0,1,0,1,,,0,,,0.0,0.0,0.0,0.0,76.5,10.2,14.8,10.2,23.1,27.8,10.4
173,173,18,3,0,0,0,1,0,,,0,,,4.0,0.0,0.0,0.0,65.6,9.2,16.8,11.9,24.8,35.9,11.6
174,174,19,1,1,0,2,0,0,,,0,,,0.0,0.0,0.0,0.0,69.4,9.4,15.5,11.9,22.8,40.8,15.5
175,175,20,6,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0,59.5,4.2,13.4,7.9,21.0,50.2,16.3
176,176,21,4,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0,68.6,6.6,13.2,8.7,19.8,47.5,15.4
177,177,22,4,0,0,1,0,0,,,0,,,2.0,0.0,0.0,0.0,63.6,9.2,17.0,11.9,24.9,39.6,14.9
178,178,23,5,0,0,1,0,0,,,0,,,3.0,0.0,0.0,0.0,62.9,6.8,14.8,8.8,23.9,50.1,13.9
179,179,24,5,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0,64.9,6.2,13.6,8.0,21.9,68.6,19.4
180,180,25,5,0,0,1,0,0,,,0,,,3.0,0.0,0.0,0.0,61.9,3.7,12.4,5.9,21.8,53.1,15.4
181,181,26,4,0,0,0,1,0,,,0,,,8.0,0.0,0.0,0.0,64.4,7.3,14.8,9.1,23.7,50.9,16.6
182,182,27,5,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0,63.0,6.7,15.3,10.0,23.8,56.7,16.4
183,183,28,3,2,0,2,0,1,,,0,,,0.0,0.0,0.0,0.0,68.9,8.6,14.9,9.1,23.0,57.5,16.4
184,184,29,5,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0,77.1,7.7,12.0,8.2,18.9,54.1,17.8
185,185,30,3,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0,69.3,5.5,11.6,7.2,19.3,56.3,13.8
186,186,31,3,0,0,0,0,0,,,0,,,1.0,0.0,0.0,0.0,67.1,10.0,17.0,11.9,26.5,58.6,16.0
187,187,32,9,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0,62.9,7.3,15.3,9.8,23.9,32.6,15.7
188,188,33,2,0,0,0,1,0,,,1,,,1.0,0.0,1.0,0.0,65.2,6.7,13.9,8.0,23.5,29.4,15.4
189,189,34,8,0,0,0,1,1,,,0,,,2.0,0.0,0.0,0.0,72.5,8.3,13.7,9.6,21.2,28.5,16.4
190,190,35,4,0,0,0,0,0,,,0,,,1.0,1.0,0.0,0.0,69.8,10.3,16.6,11.4,26.0,26.6,10.0
191,191,36,2,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0,66.0,7.5,14.5,9.0,22.2,29.7,15.9
192,192,37,2,0,0,1,1,2,,,0,,,0.0,1.0,0.0,1.0,63.8,8.1,15.7,9.3,24.6,23.0,11.9
193,193,38,3,0,0,1,0,0,,,0,,,2.0,0.0,1.0,0.0,63.6,8.0,16.0,9.8,25.3,22.9,15.1
194,194,39,3,0,0,0,0,1,,,0,,,2.0,1.0,0.0,0.0,67.6,9.7,16.3,11.3,25.2,22.2,11.3
195,195,40,4,0,0,1,0,0,,,0,,,0.0,0.0,0.0,0.0,65.5,7.7,15.6,10.6,22.3,18.3,9.9
196,196,41,4,0,0,0,0,0,,,0,,,1.0,0.0,1.0,0.0,68.0,9.3,16.0,11.6,25.8,31.6,15.0
197,197,42,10,0,0,0,1,1,,,0,,,3.0,0.0,0.0,0.0,67.8,9.6,16.1,11.4,24.1,17.8,8.0
198,198,43,3,0,0,0,2,0,,,0,,,5.0,0.0,0.0,0.0,66.9,9.2,15.8,12.5,23.2,26.4,9.7
199,199,44,7,0,1,1,4,0,,,0,,,3.0,0.0,0.0,0.0,67.9,10.8,17.5,12.5,26.0,36.4,10.3
200,200,45,9,0,0,5,0,1,,,1,,,0.0,0.0,0.0,0.0,63.0,7.4,15.6,9.9,23.6,31.3,9.2
201,201,46,5,0,0,3,1,1,,,0,,,4.0,0.0,0.0,0.0,68.9,10.3,16.7,12.4,25.5,25.1,5.8
202,202,47,5,0,0,1,0,1,,,0,,,1.0,0.0,0.0,0.0,67.0,11.0,17.8,13.1,26.0,37.4,8.3
203,203,48,4,0,0,1,0,1,,,0,,,0.0,0.0,0.0,0.0,67.4,12.0,18.7,14.4,26.2,43.8,10.2
204,204,49,5,0,0,2,1,0,,,0,,,1.0,0.0,0.0,0.0,64.4,7.2,14.9,10.0,23.9,38.3,8.4
205,205,50,2,0,1,0,0,0,,,1,,,6.0,0.0,0.0,0.0,63.3,11.4,19.1,13.9,23.8,35.8,8.2
206,206,51,2,0,0,1,0,1,,,0,,,2.0,0.0,0.0,0.0,66.8,12.4,19.2,14.8,27.5,37.4,8.2
207,207,52,2,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0,66.9,8.5,15.4,9.6,23.6,31.1,7.6
208,208,53,5,0,0,0,0,0,,,0,,,8.0,0.0,0.0,0.0,67.5,9.8,16.6,11.8,26.2,34.0,8.4
209,209,1,9,2,0,3,1,2,,,0,,,2.0,0.0,0.0,0.0,65.4,11.4,18.7,13.0,27.2,30.6,8.2
210,210,2,12,1,0,0,1,0,,,0,,,3.0,0.0,0.0,0.0,64.4,12.1,19.8,14.6,28.7,38.8,9.4
211,211,3,6,2,0,4,0,0,,,2,,,5.0,0.0,0.0,0.0,65.9,11.5,18.6,13.9,26.9,29.5,9.0
212,212,4,2,0,0,1,0,1,,,0,,,3.0,0.0,0.0,0.0,68.2,7.6,14.0,9.7,24.5,31.9,10.4
213,213,5,5,0,0,1,0,0,,,1,,,4.0,0.0,0.0,0.0,62.6,11.6,19.8,14.5,28.4,28.8,9.2
214,214,6,3,0,0,1,1,0,,,0,,,4.0,0.0,0.0,0.0,67.2,12.0,18.7,14.1,27.2,22.3,6.4
215,215,7,2,0,0,0,1,0,,,0,,,2.0,0.0,0.0,0.0,65.8,11.3,18.5,13.6,27.4,28.8,8.2
216,216,8,3,0,0,0,1,0,,,0,,,1.0,0.0,0.0,0.0,62.4,7.0,15.1,9.5,22.8,31.0,8.6
217,217,9,2,0,0,0,0,0,,,0,,,5.0,0.0,0.0,0.0,67.7,11.5,18.1,14.0,26.0,27.7,8.4
218,218,10,7,0,0,1,0,4,,,0,,,2.0,0.0,0.0,0.0,61.3,9.7,18.1,11.7,27.0,28.6,7.1
219,219,11,3,0,0,1,1,0,,,0,,,4.0,1.0,0.0,0.0,69.7,10.3,16.4,11.6,25.7,29.3,7.8
220,220,12,5,0,0,0,0,1,,,0,,,10.0,1.0,0.0,0.0,63.5,7.9,15.9,10.4,23.5,42.0,13.8
221,221,13,9,0,0,0,0,1,,,0,,,4.0,1.0,0.0,0.0,71.6,10.2,15.8,12.3,24.5,35.3,12.6
222,222,14,26,1,0,0,0,0,,,0,,,7.0,0.0,0.0,0.0,68.6,9.8,16.1,11.6,23.8,46.6,9.7
223,223,15,6,0,0,1,0,0,,,0,,,2.0,3.0,0.0,2.0,65.6,8.8,15.8,10.4,23.9,44.3,14.3
